title,cast,script,directing,date_published,likes,dislikes,views_num
ex-funcionário,evelyn castro,pedro esteves,zaga martelletto,2021-05-24,46470.0,379.0,404536
ex-funcionário,estevam nabote,pedro esteves,zaga martelletto,2021-05-24,46470.0,379.0,404536
ex-funcionário,noemia oliveira,pedro esteves,zaga martelletto,2021-05-24,46470.0,379.0,404536
vacinada,thati lopes,gregório duvivier,bianca frossard,2021-05-22,64951.0,1596.0,527924
plantananã - tudo sobre a cpi da covid,rafael infante,joão vicente de castro,vini videla,2021-05-21,44357.0,1522.0,322293
pfizer,antonio tabet,gregório duvivier,rodrigo van der put,2021-05-20,126596.0,3800.0,888119
pfizer,fábio porchat,gregório duvivier,rodrigo van der put,2021-05-20,126596.0,3800.0,888119
pfizer,joão vicente de castro,gregório duvivier,rodrigo van der put,2021-05-20,126596.0,3800.0,888119
pfizer,gregório duvivier,gregório duvivier,rodrigo van der put,2021-05-20,126596.0,3800.0,888119
preocupadão com a covid #eumecuido - #shorts,joel vieira,jhonatan marques,,2021-05-19,7483.0,646.0,126044
chato demais,gregório duvivier,gustavo vilela,bianca frossard,2021-05-17,70925.0,1476.0,654094
tupperware,evelyn castro,gustavo vilela,bianca frossard,2021-05-15,43360.0,696.0,431623
tupperware,thati lopes,gustavo vilela,bianca frossard,2021-05-15,43360.0,696.0,431623
tupperware,antonio tabet,gustavo vilela,bianca frossard,2021-05-15,43360.0,696.0,431623
negociação,gregório duvivier,gregório duvivier,rodrigo van der put,2021-05-13,71109.0,822.0,652472
negociação,gregório duvivier,jhonatan marques,rodrigo van der put,2021-05-13,71109.0,822.0,652472
negociação,pedro benevides,gregório duvivier,rodrigo van der put,2021-05-13,71109.0,822.0,652472
negociação,pedro benevides,jhonatan marques,rodrigo van der put,2021-05-13,71109.0,822.0,652472
tá tudo bem,fábio de luca,gabriel esteves,zaga martelletto,2021-05-10,58925.0,944.0,504074
tá tudo bem,rafael infante,gabriel esteves,zaga martelletto,2021-05-10,58925.0,944.0,504074
katia,evelyn castro,matheus mad,bianca frossard,2021-05-08,42128.0,593.0,462903
katia,fábio de luca,matheus mad,bianca frossard,2021-05-08,42128.0,593.0,462903
rir é um ato de resistência,,,,2021-05-06,96884.0,739.0,446911
sonhei com você,estevam nabote,matheus mad,bianca frossard,2021-05-03,48881.0,360.0,458401
sonhei com você,nathalia cruz,matheus mad,bianca frossard,2021-05-03,48881.0,360.0,458401
diversidade,gregório duviver,gustavo vilela,rodrigo van der put,2021-05-01,57127.0,851.0,531549
diversidade,rafael infante,gustavo vilela,rodrigo van der put,2021-05-01,57127.0,851.0,531549
vida em marte,joão vicente de castro,matheus mad,gigi soares,2021-04-29,54314.0,1059.0,584221
vida em marte,pedro benevides,matheus mad,gigi soares,2021-04-29,54314.0,1059.0,584221
leilão online,fábio porchat,jhonatan marques,bianca frossard,2021-04-26,78828.0,922.0,1018063
leilão online,fábio porchat,edu araujo,bianca frossard,2021-04-26,78828.0,922.0,1018063
"amiga, pare",thati lopes,nathalia cruz,rodrigo van der put,2021-04-24,43423.0,1204.0,491165
"amiga, pare",evelyn castro,nathalia cruz,rodrigo van der put,2021-04-24,43423.0,1204.0,491165
eric querido,gregório duvivier,gregório duvivier,rodrigo van der put,2021-04-22,43263.0,1400.0,445146
eric querido,evelyn castro,gregório duvivier,rodrigo van der put,2021-04-22,43263.0,1400.0,445146
eric querido,pedro benevides,gregório duvivier,rodrigo van der put,2021-04-22,43263.0,1400.0,445146
eric querido,thati lopes,gregório duvivier,rodrigo van der put,2021-04-22,43263.0,1400.0,445146
eric querido,antonio tabet,gregório duvivier,rodrigo van der put,2021-04-22,43263.0,1400.0,445146
câmera ligada,rafael infante,jhonatan marques,bianca frossard,2021-04-19,55362.0,545.0,668124
câmera ligada,noemia oliveira,jhonatan marques,bianca frossard,2021-04-19,55362.0,545.0,668124
câmera ligada,estevam nabote,jhonatan marques,bianca frossard,2021-04-19,55362.0,545.0,668124
câmera ligada,pedro benevides,jhonatan marques,bianca frossard,2021-04-19,55362.0,545.0,668124
câmera ligada,luiza ambiel,jhonatan marques,bianca frossard,2021-04-19,55362.0,545.0,668124
aluguel,nathalia cruz,jhonatan marques,rodrigo van der put,2021-04-17,45480.0,551.0,479112
aluguel,evelyn castro,jhonatan marques,rodrigo van der put,2021-04-17,45480.0,551.0,479112
aluguel,duda cartolano,jhonatan marques,rodrigo van der put,2021-04-17,45480.0,551.0,479112
demissão gameficada,evelyn castro,gustavo vilela,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,evelyn castro,gregório duvivier,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,estevam nabote,gustavo vilela,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,estevam nabote,gregório duvivier,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,totoro,gustavo vilela,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,totoro,gregório duvivier,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,fabio de luca,gustavo vilela,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,fabio de luca,gregório duvivier,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,joão pimenta,gustavo vilela,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,joão pimenta,gregório duvivier,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,pedro benevides,gustavo vilela,bianca frossard,2021-04-15,48360.0,512.0,560955
demissão gameficada,pedro benevides,gregório duvivier,bianca frossard,2021-04-15,48360.0,512.0,560955
doente de brasil,gregório duvivier,gregório duvivier,bianca frossard,2021-04-12,95308.0,2120.0,762994
doente de brasil,rafael infante,gregório duvivier,bianca frossard,2021-04-12,95308.0,2120.0,762994
autoestima,antonio tabet,gustavo vilela,bianca frossard,2021-04-10,47469.0,407.0,464660
autoestima,pedro benevides,gustavo vilela,bianca frossard,2021-04-10,47469.0,407.0,464660
algoritmo,fabio de luca,gustavo vilela,bianca frossard,2021-04-08,76120.0,890.0,872771
algoritmo,fabio de luca,edu araujo,bianca frossard,2021-04-08,76120.0,890.0,872771
algoritmo,rafael infante,gustavo vilela,bianca frossard,2021-04-08,76120.0,890.0,872771
algoritmo,rafael infante,edu araujo,bianca frossard,2021-04-08,76120.0,890.0,872771
como fazer moela? - cozinha com pimenta,joão pimenta,joão pimenta,bianca frossard,2021-04-06,16402.0,399.0,141113
como fazer moela? - cozinha com pimenta,joão pimenta,jhonatan marques,bianca frossard,2021-04-06,16402.0,399.0,141113
problematizando a palavra,gregório duvivier,gregório duvivier,rodrigo van der put,2021-04-05,23516.0,1080.0,225394
na lata 3,fabio porchat,gustavo vilela,rodrigo van der put,2021-04-03,89556.0,2018.0,1080730
na lata 3,rafael portugal,gustavo vilela,rodrigo van der put,2021-04-03,89556.0,2018.0,1080730
primeiro de abril,fabio de luca,fabio de luca,,2021-04-01,53189.0,543.0,483082
problematizando o problema,gregório duvivier,gregório duvivier,rodrigo van der put,2021-03-29,32220.0,1640.0,306586
papo de amiga,evelyn castro,gustavo vilela,bianca frossard,2021-03-27,42506.0,763.0,459995
papo de amiga,isabela mariotto,gustavo vilela,bianca frossard,2021-03-27,42506.0,763.0,459995
transmissão tv brasil,fabio de luca,gustavo vilela,gustavo chagas,2021-03-25,47650.0,1162.0,429275
transmissão tv brasil,fabio de luca,antonio tabet,gustavo chagas,2021-03-25,47650.0,1162.0,429275
transmissão tv brasil,antonio tabet,gustavo vilela,gustavo chagas,2021-03-25,47650.0,1162.0,429275
transmissão tv brasil,antonio tabet,antonio tabet,gustavo chagas,2021-03-25,47650.0,1162.0,429275
como fazer bolo vulcão (laranja com chocolate)? - cozinha com pimenta,joão pimenta,joão pimenta,bianca frossard,2021-03-23,21581.0,370.0,155189
como fazer bolo vulcão (laranja com chocolate)? - cozinha com pimenta,joão pimenta,jhonatan marques,bianca frossard,2021-03-23,21581.0,370.0,155189
problematizando a privada,gregório duvivier,gregório duvivier,rodrigo van der put,2021-03-22,29175.0,2248.0,314832
operação et e rodolfo,estevam nabote,gabriel esteves,gustavo chagas,2021-03-20,45350.0,621.0,436498
operação et e rodolfo,rafael infante,gabriel esteves,gustavo chagas,2021-03-20,45350.0,621.0,436498
amizade sincera,evelyn castro,nathalia cruz,bianca frossard,2021-03-18,49206.0,486.0,518677
amizade sincera,thati lopes,nathalia cruz,bianca frossard,2021-03-18,49206.0,486.0,518677
problematizando o copo,gregório duvivier,gregório duvivier,rodrigo van der put,2021-03-15,47788.0,2271.0,455941
opiniões,fabio porchat,fabio porchat,gustavo chagas,2021-03-13,50973.0,764.0,574769
opiniões,fabio de luca,fabio porchat,gustavo chagas,2021-03-13,50973.0,764.0,574769
saudosista,rafael infante,jhonatan marques,rodrigo van der put,2021-03-11,61300.0,1248.0,663138
saudosista,antonio tabet,jhonatan marques,rodrigo van der put,2021-03-11,61300.0,1248.0,663138
simpatia,thati lopes,nathalia cruz,bianca frossard,2021-03-08,49336.0,596.0,522931
simpatia,evelyn castro,nathalia cruz,bianca frossard,2021-03-08,49336.0,596.0,522931
família sem filtros - despedida de osmar,rafael portugal,pedro esteves,rodrigo van der put,2021-03-06,15058.0,414.0,175278
odiadora,evelyn castro,pedro esteves,bianca frossard,2021-03-04,67391.0,657.0,647846
odiadora,ademara barros,pedro esteves,bianca frossard,2021-03-04,67391.0,657.0,647846
como fazer macarrão tipo spoleto? - cozinha com pimenta,joão pimenta,joão pimenta,bianca frossard,2021-03-02,22121.0,496.0,180983
como fazer macarrão tipo spoleto? - cozinha com pimenta,joão pimenta,jhonatan marques,bianca frossard,2021-03-02,22121.0,496.0,180983
soletra pra mim,fabio de luca,gustavo vilela,rodrigo van der put,2021-03-01,54810.0,539.0,627976
família sem filtros - resgate furado,rafael portugal,pedro esteves,rodrigo van der put,2021-02-27,15338.0,509.0,190808
insta de filho,thati lopes,gustavo vilela,bianca frossard,2021-02-25,61071.0,933.0,703454
insta de filho,carine klimeck,gustavo vilela,bianca frossard,2021-02-25,61071.0,933.0,703454
plantananã – karol conká fora do bbb 21,rafael infante,,bianca frossard,2021-02-23,71389.0,3028.0,816099
erro,fabio porchat,gustavo vilela,bianca frossard,2021-02-22,48223.0,1453.0,574317
família sem filtros - resgate impagável,rafael portugal,pedro esteves,rodrigo van der put,2021-02-20,19675.0,658.0,227728
aleatória,estevam nabote,nathalia cruz,bianca frossard,2021-02-18,49352.0,685.0,549641
aleatória,jordana morena,nathalia cruz,bianca frossard,2021-02-18,49352.0,685.0,549641
carnaval 2021,evelyn castro,antonio tabet,bianca frossard,2021-02-15,41146.0,1054.0,518690
carnaval 2021,fabio de luca,antonio tabet,bianca frossard,2021-02-15,41146.0,1054.0,518690
família sem filtros - convite emocionante,rafael portugal,pedro esteves,rodrigo van der put,2021-02-13,27908.0,634.0,317667
golpe do casamento,evelyn castro,gregório duvivier,gustavo chagas,2021-02-11,53117.0,809.0,513503
como fazer torta de limão?? - cozinha com pimenta,joão pimenta,joão pimenta,bianca frossard,2021-02-09,26627.0,531.0,184592
como fazer torta de limão?? - cozinha com pimenta,joão pimenta,jhonatan marques,bianca frossard,2021-02-09,26627.0,531.0,184592
problemas de conexão,rafael infante,gregório duvivier,rodrigo van der put,2021-02-08,55430.0,827.0,688710
problemas de conexão,antonio tabet,gregório duvivier,rodrigo van der put,2021-02-08,55430.0,827.0,688710
problemas de conexão,maria bopp,gregório duvivier,rodrigo van der put,2021-02-08,55430.0,827.0,688710
problemas de conexão,thati lopes,gregório duvivier,rodrigo van der put,2021-02-08,55430.0,827.0,688710
golpe do céu,rafael portugal,gregório duvivier,gustavo chagas,2021-02-06,100540.0,2175.0,1014788
golpe do céu,gregório duvivier,gregório duvivier,gustavo chagas,2021-02-06,100540.0,2175.0,1014788
zé gotinha,fabio de luca,gustavo vilela,rodrigo van der put,2021-02-04,82455.0,1472.0,794564
zé gotinha,fabio porchat,gustavo vilela,rodrigo van der put,2021-02-04,82455.0,1472.0,794564
#fechadocomele,rafael infante,matheus mad,gustavo chagas,2021-02-01,72254.0,3157.0,744260
#fechadocomele,fabio de luca,matheus mad,gustavo chagas,2021-02-01,72254.0,3157.0,744260
#fechadocomele,totoro,matheus mad,gustavo chagas,2021-02-01,72254.0,3157.0,744260
#fechadocomele,estevam nabote,matheus mad,gustavo chagas,2021-02-01,72254.0,3157.0,744260
querido marcão,joel vieira,pedro esteves,gustavo chagas,2021-01-30,29304.0,664.0,327025
querido marcão,noemia oliveira,pedro esteves,gustavo chagas,2021-01-30,29304.0,664.0,327025
querido marcão,estevam nabote,pedro esteves,gustavo chagas,2021-01-30,29304.0,664.0,327025
querido marcão,evelyn castro,pedro esteves,gustavo chagas,2021-01-30,29304.0,664.0,327025
querido marcão,pedro benevides,pedro esteves,gustavo chagas,2021-01-30,29304.0,664.0,327025
golpe neopentecostal,fabio de luca,gregório duvivier,gustavo chagas,2021-01-28,78779.0,2088.0,576553
como fazer moqueca? - cozinha com pimenta,joão pimenta,joão pimenta,bianca frossard,2021-01-26,27053.0,670.0,213341
como fazer moqueca? - cozinha com pimenta,joão pimenta,jhonatan marques,bianca frossard,2021-01-26,27053.0,670.0,213341
nude,antonio tabet,matheus mad,bianca frossard,2021-01-25,124249.0,1269.0,1572153
nude,antonio tabet,antonio tabet,bianca frossard,2021-01-25,124249.0,1269.0,1572153
nude,rafael portugal,matheus mad,bianca frossard,2021-01-25,124249.0,1269.0,1572153
nude,rafael portugal,antonio tabet,bianca frossard,2021-01-25,124249.0,1269.0,1572153
a médium,noemia oliveira,isabella paulelli,gustavo chagas,2021-01-23,41937.0,866.0,432971
a médium,estevam nabote,isabella paulelli,gustavo chagas,2021-01-23,41937.0,866.0,432971
jornalismo estrutural,antonio tabet,nathalia cruz,gustavo chagas,2021-01-21,71125.0,985.0,692755
jornalismo estrutural,antonio tabet,jhonatan marques,gustavo chagas,2021-01-21,71125.0,985.0,692755
jornalismo estrutural,rafael infante,nathalia cruz,gustavo chagas,2021-01-21,71125.0,985.0,692755
jornalismo estrutural,rafael infante,jhonatan marques,gustavo chagas,2021-01-21,71125.0,985.0,692755
mamada,manu cantuária,nathalia cruz,bianca frossard,2021-01-18,54800.0,2862.0,617170
mamada,manu cantuária,manuela cantuária,bianca frossard,2021-01-18,54800.0,2862.0,617170
mamada,nathalia cruz,nathalia cruz,bianca frossard,2021-01-18,54800.0,2862.0,617170
mamada,nathalia cruz,manuela cantuária,bianca frossard,2021-01-18,54800.0,2862.0,617170
mamada,cléo weller,nathalia cruz,bianca frossard,2021-01-18,54800.0,2862.0,617170
mamada,cléo weller,manuela cantuária,bianca frossard,2021-01-18,54800.0,2862.0,617170
previsões para 2021,thati lopes,matheus mad,bianca frossard,2021-01-16,72388.0,1497.0,766747
previsões para 2021,thati lopes,gregório duvivier,bianca frossard,2021-01-16,72388.0,1497.0,766747
previsões para 2021,luciana paes,matheus mad,bianca frossard,2021-01-16,72388.0,1497.0,766747
previsões para 2021,luciana paes,gregório duvivier,bianca frossard,2021-01-16,72388.0,1497.0,766747
previsões para 2021,nathalia cruz,matheus mad,bianca frossard,2021-01-16,72388.0,1497.0,766747
previsões para 2021,nathalia cruz,gregório duvivier,bianca frossard,2021-01-16,72388.0,1497.0,766747
freada,estevam nabote,gabriel esteves,gigi soares,2021-01-14,55470.0,1617.0,509312
freada,pedro benevides,gabriel esteves,gigi soares,2021-01-14,55470.0,1617.0,509312
freada,felipe ruggeri,gabriel esteves,gigi soares,2021-01-14,55470.0,1617.0,509312
responsável,evelyn castro,jhonatan marques,,2021-01-11,60160.0,5600.0,671776
responsável,fabio porchat,jhonatan marques,,2021-01-11,60160.0,5600.0,671776
responsável,noemia oliveira,jhonatan marques,,2021-01-11,60160.0,5600.0,671776
responsável,joel vieira,jhonatan marques,,2021-01-11,60160.0,5600.0,671776
robozinho,evelyn castro,gustavo vilela,gustavo chagas,2021-01-09,46721.0,849.0,561546
robozinho,estevam nabote,gustavo vilela,gustavo chagas,2021-01-09,46721.0,849.0,561546
chamada de emergência,rafael portugal,jhonatan marques,gustavo chagas,2021-01-07,90514.0,780.0,1060676
chamada de emergência,rafael infante,jhonatan marques,gustavo chagas,2021-01-07,90514.0,780.0,1060676
chamada de emergência,tiago rex,jhonatan marques,gustavo chagas,2021-01-07,90514.0,780.0,1060676
missão descumprida,fabio porchat,pedro esteves,gustavo chagas,2021-01-04,111070.0,5002.0,1103188
missão descumprida,fabio de luca,pedro esteves,gustavo chagas,2021-01-04,111070.0,5002.0,1103188
cinelândia drive-in,gregório duvivier,gregório duvivier,gustavo chagas,2021-01-02,42786.0,1177.0,474107
cinelândia drive-in,giovanna nader,gregório duvivier,gustavo chagas,2021-01-02,42786.0,1177.0,474107
dona helena - especial de ano novo,fabio de luca,fabio de luca,,2020-12-31,44802.0,561.0,489345
dona helena - especial de ano novo,fabio de luca,pedro esteves,,2020-12-31,44802.0,561.0,489345
retrospectiva plantananã,rafael infante,joão vicente de castro,,2020-12-28,62162.0,1473.0,557537
retrospectiva plantananã,rafael infante,edu araujo,,2020-12-28,62162.0,1473.0,557537
retrospectiva plantananã,rafael infante,nathalia cruz,,2020-12-28,62162.0,1473.0,557537
retrospectiva plantananã,rafael infante,rafael infante,,2020-12-28,62162.0,1473.0,557537
mecânica vintage,rafael portugal,gabriel esteves,,2020-12-26,66750.0,2610.0,912830
mecânica vintage,rafael portugal,guilherme macedo,,2020-12-26,66750.0,2610.0,912830
mecânica vintage,fabio de luca,gabriel esteves,,2020-12-26,66750.0,2610.0,912830
mecânica vintage,fabio de luca,guilherme macedo,,2020-12-26,66750.0,2610.0,912830
mecânica vintage,pedro benevides,gabriel esteves,,2020-12-26,66750.0,2610.0,912830
mecânica vintage,pedro benevides,guilherme macedo,,2020-12-26,66750.0,2610.0,912830
jesus hétero,gregório duvivier,pedro esteves,,2020-12-24,189095.0,12991.0,1895969
jesus hétero,thati lopes,pedro esteves,,2020-12-24,189095.0,12991.0,1895969
jesus hétero,fabio de luca,pedro esteves,,2020-12-24,189095.0,12991.0,1895969
jesus hétero,yuri marçal,pedro esteves,,2020-12-24,189095.0,12991.0,1895969
ele não vai voltar - teocracia em vertigem (clipe oficial),fabio porchat,,,2020-12-23,29691.0,5088.0,314528
ele não vai voltar - teocracia em vertigem (clipe oficial),silvia machete,,,2020-12-23,29691.0,5088.0,314528
ele não vai voltar - teocracia em vertigem (clipe oficial),teresa cristina,,,2020-12-23,29691.0,5088.0,314528
como fazer um tender de natal - cozinha com pimenta,joão pimenta,joão pimenta,,2020-12-22,28016.0,625.0,200724
como fazer um tender de natal - cozinha com pimenta,joão pimenta,jhonatan marques,,2020-12-22,28016.0,625.0,200724
floricultura,eveleyn castro,edu araujo,,2020-12-21,51173.0,578.0,496727
floricultura,eveleyn castro,jhonatan marques,,2020-12-21,51173.0,578.0,496727
floricultura,fabio de luca,edu araujo,,2020-12-21,51173.0,578.0,496727
floricultura,fabio de luca,jhonatan marques,,2020-12-21,51173.0,578.0,496727
zeus castiga,gregório duvivier,gregório duvivier,,2020-12-19,96111.0,4823.0,775793
significado,eveleyn castro,jhonatan marques,,2020-12-17,66150.0,1199.0,789684
significado,fabio porchat,jhonatan marques,,2020-12-17,66150.0,1199.0,789684
plantananã - teocracia em vertigem,rafael infante,joão vicente de castro,,2020-12-16,28020.0,2228.0,273039
plantananã - teocracia em vertigem,rafael infante,nathalia cruz,,2020-12-16,28020.0,2228.0,273039
plantananã - teocracia em vertigem,rafael infante,rafael infante,,2020-12-16,28020.0,2228.0,273039
papo de elevador,fabio porchat,matheus mad,,2020-12-14,93052.0,2096.0,1209152
papo de elevador,rafael infante,matheus mad,,2020-12-14,93052.0,2096.0,1209152
tendências,thati lopes,guilherme macedo,,2020-12-12,42635.0,1042.0,405799
tendências,thati lopes,manuela cantuária,,2020-12-12,42635.0,1042.0,405799
tendências,fabio de luca,guilherme macedo,,2020-12-12,42635.0,1042.0,405799
tendências,fabio de luca,manuela cantuária,,2020-12-12,42635.0,1042.0,405799
tendências,noemia oliveira,guilherme macedo,,2020-12-12,42635.0,1042.0,405799
tendências,noemia oliveira,manuela cantuária,,2020-12-12,42635.0,1042.0,405799
teocracia em vertigem - especial de natal,antonio tabet,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,antonio tabet,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,daniel furlan,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,daniel furlan,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,estevam nabote,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,estevam nabote,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,evelyn castro,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,evelyn castro,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,fabio de luca,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,fabio de luca,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,fabio porchat,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,fabio porchat,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,gabriel louchard,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,gabriel louchard,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,gabriel totoro,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,gabriel totoro,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,gregorio duvivier,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,gregorio duvivier,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,helio de la peña,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,helio de la peña,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,joão vicente de castro,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,joão vicente de castro,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,leandro ramos,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,leandro ramos,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,marco gonçalves,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,marco gonçalves,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,nathalia cruz,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,nathalia cruz,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,noemia oliveira,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,noemia oliveira,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,paulo tiefenthaler,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,paulo tiefenthaler,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,pedro benevides,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,pedro benevides,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,rafael infante,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,rafael infante,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,rafael portugal,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,rafael portugal,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,raphael logam,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,raphael logam,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,raul chequer,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,raul chequer,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,renato góes,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,renato góes,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,thati lopes,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,thati lopes,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,yuri marçal,fabio porchat,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
teocracia em vertigem - especial de natal,yuri marçal,baseado na ideia original de gabriel esteves,rodrigo van der put,2020-12-10,251663.0,20498.0,2435198
como fazer hambúrguer - cozinha com pimenta,joão pimenta,joão pimenta,,2020-12-08,47901.0,1029.0,377839
como fazer hambúrguer - cozinha com pimenta,joão pimenta,jhonatan marques,,2020-12-08,47901.0,1029.0,377839
cinema drive in,evelyn castro,matheus mad,,2020-12-07,31255.0,996.0,360990
cinema drive in,pedro benevides,matheus mad,,2020-12-07,31255.0,996.0,360990
pelado,rafael infante,jhonatan marques,,2020-12-05,66764.0,2138.0,769892
pelado,estevam nabote,jhonatan marques,,2020-12-05,66764.0,2138.0,769892
apelidos,fabio porchat,pedro esteves,,2020-12-03,31332.0,2834.0,387464
apelidos,fabio porchat,fabio porchat,,2020-12-03,31332.0,2834.0,387464
apelidos,noemia oliveira,pedro esteves,,2020-12-03,31332.0,2834.0,387464
apelidos,noemia oliveira,fabio porchat,,2020-12-03,31332.0,2834.0,387464
formando líderes [vídeos para todos],,gustavo vilela,,2020-11-30,50143.0,815.0,561038
miliciagram,,,,2020-11-28,64186.0,1077.0,674219
chato,,,,2020-11-26,65550.0,2745.0,722984
como fazer lasanha - cozinha com pimenta,,,,2020-11-24,43739.0,1576.0,295601
trabalhando em casa #6 - volta ao escritório,,,,2020-11-23,46976.0,2616.0,702485
telessexo,,,,2020-11-21,78708.0,2333.0,1050767
